window_open_time,decision,final_decision,confidence,score,model_prob,rsi,ma_signal,volume_signal,actual_direction,window_open,window_close,correct,skipped,fee_eroded,edge_pct
1785857960788,SKIP,SKIP,,0.0,0.5,50.0,0,0,DOWN,100000.0,99949.81604753894,,True,False,0.0
1785858860788,SKIP,SKIP,,-0.25,0.4625,35.58576975261924,-1,0,UP,99949.81604753894,100130.1017701029,,True,False,0.0
1785859760788,SKIP,SKIP,,-0.15000000000000002,0.4775,80.5705266072099,1,0,UP,100130.1017701029,100222.89934682747,,True,False,0.0
1785860660788,SKIP,SKIP,,-0.15000000000000002,0.4775,85.95795115571482,1,0,UP,100222.89934682747,100262.36274050629,,True,False,0.0
1785861560788,SKIP,SKIP,,-0.15000000000000002,0.4775,70.72021310712134,1,0,DOWN,100262.36274050629,100124.77019668327,,True,False,0.0
1785862460788,SKIP,SKIP,,0.15000000000000002,0.5225,22.51697656036339,-1,0,DOWN,100124.77019668327,99987.16800481775,,True,False,0.0
1785863360788,SKIP,SKIP,,0.15000000000000002,0.5225,10.59892811593501,-1,0,DOWN,99987.16800481775,99810.40144968503,,True,False,0.0
1785864260788,SKIP,SKIP,,0.15000000000000002,0.5225,4.421963242860443,-1,0,UP,99810.40144968503,99956.87190799501,,True,False,0.0
1785865160788,SKIP,SKIP,,0.25,0.5375,60.091803875308145,1,0,UP,99956.87190799501,99997.31791269229,,True,False,0.0
1785866060788,SKIP,SKIP,,-0.15000000000000002,0.4775,71.94920291489751,1,0,UP,99997.31791269229,100080.54694381071,,True,False,0.0
1785866960788,SKIP,SKIP,,-0.15000000000000002,0.4775,73.65272415318218,1,0,DOWN,100080.54694381071,99888.78074152903,,True,False,0.0
1785867860788,SKIP,SKIP,,0.15000000000000002,0.5225,26.793669536587274,-1,0,UP,99888.78074152903,100076.74468239382,,True,False,0.0
1785868760788,SKIP,SKIP,,-0.15000000000000002,0.4775,75.50053130112664,1,0,UP,100076.74468239382,100209.721738714,,True,False,0.0
1785869660788,SKIP,SKIP,,-0.15000000000000002,0.4775,77.4808234924161,1,0,DOWN,100209.721738714,100094.6573829853,,True,False,0.0
1785870560788,SKIP,SKIP,,-0.25,0.4625,34.398448934367295,-1,0,DOWN,100094.6573829853,99967.38736986814,,True,False,0.0
1785871460788,SKIP,SKIP,,0.15000000000000002,0.5225,18.75523051315119,-1,0,DOWN,99967.38736986814,99840.74917380951,,True,False,0.0
1785872360788,SKIP,SKIP,,0.15000000000000002,0.5225,12.367113721344865,-1,0,DOWN,99840.74917380951,99762.44607099333,,True,False,0.0
1785873260788,SKIP,SKIP,,0.15000000000000002,0.5225,18.88442497565204,-1,0,UP,99762.44607099333,99772.34864364623,,True,False,0.0
1785874160788,SKIP,SKIP,,0.25,0.5375,41.95125348900178,1,0,DOWN,99772.34864364623,99745.12665110307,,True,False,0.0
